stop_date,stop_time,driver_gender,driver_age,driver_race,violation,search_conducted,stop_outcome,is_arrested,drugs_related_stop,year
2007-10-23,2023-09-14 11:58:00,M,91,White,Speeding,False,Citation,False,False,2007
2007-11-18,2023-09-14 16:00:00,M,91,White,Speeding,False,Citation,False,False,2007
2007-12-30,2023-09-14 10:14:00,M,91,Black,Speeding,False,Citation,False,False,2007
2008-01-07,2023-09-14 06:52:00,M,91,White,Speeding,False,Citation,False,False,2008
2008-08-21,2023-09-14 09:30:00,M,91,White,Speeding,False,Citation,False,False,2008
2009-02-23,2023-09-14 09:40:00,M,91,White,Speeding,False,Citation,False,False,2009
2010-01-10,2023-09-14 14:31:00,M,91,White,Speeding,False,Citation,False,False,2010
2011-06-22,2023-09-14 14:41:00,M,91,White,Speeding,False,Citation,False,False,2011
2011-06-23,2023-09-14 10:12:00,M,91,White,Speeding,False,Warning,False,False,2011
2011-07-28,2023-09-14 10:18:00,F,91,White,Speeding,False,Citation,False,False,2011
2011-12-01,2023-09-14 10:26:00,M,91,White,Speeding,False,Citation,False,False,2011
2012-07-03,2023-09-14 13:09:00,M,91,White,Speeding,False,Warning,False,False,2012
2013-03-27,2023-09-14 15:27:00,F,91,White,Speeding,False,Citation,False,False,2013
2013-06-01,2023-09-14 08:58:00,M,91,White,Speeding,False,Warning,False,False,2013
2013-07-02,2023-09-14 08:06:00,M,91,White,Speeding,False,Warning,False,False,2013
2014-02-28,2023-09-14 09:33:00,F,91,White,Speeding,False,Warning,False,False,2014
2014-09-11,2023-09-14 02:41:00,M,91,White,Speeding,False,Citation,False,False,2014
2015-09-08,2023-09-14 13:09:00,M,91,White,Speeding,False,Citation,False,False,2015
2005-12-08,2023-09-14 13:40:00,F,90,White,Speeding,False,Citation,False,False,2005
2005-12-19,2023-09-14 13:40:00,M,90,White,Speeding,False,Citation,False,False,2005
2006-02-10,2023-09-14 01:40:00,M,90,White,Speeding,False,Citation,False,False,2006
2006-06-12,2023-09-14 06:50:00,M,90,White,Speeding,False,Citation,False,False,2006
2006-06-22,2023-09-14 12:57:00,M,90,White,Speeding,False,Citation,False,False,2006
2006-07-17,2023-09-14 16:34:00,M,90,White,Speeding,False,Citation,False,False,2006
2007-02-13,2023-09-14 09:29:00,M,90,White,Speeding,False,Citation,False,False,2007
2007-07-08,2023-09-14 23:16:00,M,90,White,Speeding,False,Citation,False,False,2007
2007-08-02,2023-09-14 11:41:00,M,90,White,Speeding,False,Citation,False,False,2007
2008-10-17,2023-09-14 14:36:00,M,90,White,Speeding,False,Citation,False,False,2008
2010-05-08,2023-09-14 15:29:00,M,90,White,Speeding,False,Citation,False,False,2010
2010-07-30,2023-09-14 07:33:00,F,90,White,Speeding,False,Warning,False,False,2010
2010-09-09,2023-09-14 10:17:00,M,90,White,Speeding,False,Citation,False,False,2010
2012-05-18,2023-09-14 15:31:00,M,90,White,Speeding,False,Warning,False,False,2012
2012-06-12,2023-09-14 13:57:00,M,90,White,Speeding,False,Warning,False,False,2012
2013-03-14,2023-09-14 15:18:00,M,90,White,Speeding,False,Citation,False,False,2013
2013-09-23,2023-09-14 08:07:00,M,90,White,Speeding,False,Warning,False,False,2013
2014-05-16,2023-09-14 13:01:00,F,90,White,Speeding,False,Citation,False,False,2014
2014-06-23,2023-09-14 06:43:00,F,90,White,Speeding,False,Citation,False,False,2014
2015-08-21,2023-09-14 14:37:00,M,90,White,Speeding,False,Citation,False,False,2015
2006-04-20,2023-09-14 10:10:00,M,89,White,Speeding,False,Citation,False,False,2006
2006-06-10,2023-09-14 17:33:00,M,89,White,Speeding,False,Citation,False,False,2006
2006-10-17,2023-09-14 09:25:00,F,89,White,Speeding,False,Citation,False,False,2006
2006-12-03,2023-09-14 08:20:00,M,89,White,Speeding,False,Citation,False,False,2006
2007-01-02,2023-09-14 23:45:00,M,89,White,Speeding,False,Citation,False,False,2007
2007-01-16,2023-09-14 14:15:00,M,89,White,Speeding,False,Warning,False,False,2007
2007-02-11,2023-09-14 19:21:00,M,89,White,Speeding,False,Citation,False,False,2007
2007-09-18,2023-09-14 15:30:00,M,89,White,Speeding,False,Citation,False,False,2007
2007-11-14,2023-09-14 13:31:00,M,89,White,Speeding,False,Citation,False,False,2007
2008-08-08,2023-09-14 09:42:00,M,89,White,Speeding,False,Citation,False,False,2008
2008-09-24,2023-09-14 09:12:00,M,89,White,Speeding,False,Citation,False,False,2008
2014-11-16,2023-09-14 06:17:00,M,89,White,Speeding,False,Citation,False,False,2014
2005-10-04,2023-09-14 20:05:00,M,88,White,Speeding,False,Citation,False,False,2005
2005-12-12,2023-09-14 01:45:00,M,88,Asian,Speeding,False,Citation,False,False,2005
2006-01-22,2023-09-14 10:28:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-02-17,2023-09-14 09:08:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-03-03,2023-09-14 13:05:00,F,88,White,Speeding,False,Citation,False,False,2006
2006-03-29,2023-09-14 00:57:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-09-08,2023-09-14 20:25:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-09-13,2023-09-14 14:13:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-10-03,2023-09-14 15:30:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-10-19,2023-09-14 10:15:00,M,88,White,Speeding,False,Citation,False,False,2006
2006-11-26,2023-09-14 13:00:00,F,88,White,Speeding,False,Citation,False,False,2006
2006-12-14,2023-09-14 14:27:00,M,88,White,Speeding,False,Citation,False,False,2006
2007-02-04,2023-09-14 06:30:00,M,88,Hispanic,Speeding,False,Citation,False,False,2007
2007-04-11,2023-09-14 11:30:00,M,88,White,Speeding,False,Citation,False,False,2007
